Filename,DQN,DQNWeight,ImageTime
frame_1.jpg,0.12178774,25,0.1171417236328125
frame_2.jpg,0.0,100,0.0879213809967041
frame_3.jpg,0.0,100,0.09609842300415039
frame_4.jpg,0.69062984,100,0.2583324909210205
frame_5.jpg,0.75209576,100,0.43156981468200684
frame_6.jpg,0.3746449,100,0.7693865299224854
frame_7.jpg,0.4164702,100,0.21537256240844727
frame_8.jpg,0.51932347,100,0.26649999618530273
frame_9.jpg,0.5750021,100,0.8202340602874756
frame_10.jpg,0.5439463,100,0.7096471786499023
frame_11.jpg,0.73990566,100,0.3381803035736084
frame_12.jpg,0.5738948,100,0.27377939224243164
frame_13.jpg,0.66098446,100,0.3140439987182617
frame_14.jpg,0.57724226,100,0.2997455596923828
frame_15.jpg,0.5624652,100,0.292417049407959
frame_16.jpg,0.58310735,100,0.29294681549072266
frame_17.jpg,0.3881026,100,0.2070932388305664
frame_18.jpg,0.26688114,100,0.14670825004577637
frame_19.jpg,0.3671927,100,0.16173934936523438
frame_20.jpg,0.38600588,100,0.16434025764465332
frame_21.jpg,0.40961435,100,0.1744093894958496
frame_22.jpg,0.37658602,100,0.16095733642578125
frame_23.jpg,0.5046238,100,0.17578697204589844
frame_24.jpg,0.59712386,100,0.23815536499023438
frame_25.jpg,0.4900202,100,0.19289422035217285
frame_26.jpg,0.44957194,100,0.19256019592285156
frame_27.jpg,0.41791046,100,0.17156124114990234
frame_28.jpg,0.42987233,100,0.16178250312805176
frame_29.jpg,0.28364918,25,0.13844966888427734
frame_30.jpg,0.48846328,100,0.1605377197265625
frame_31.jpg,0.4878243,100,0.20646882057189941
frame_32.jpg,0.43886244,100,0.16652655601501465
frame_33.jpg,0.34902588,25,0.17631053924560547
frame_34.jpg,0.47286487,100,0.1963939666748047
frame_35.jpg,0.50265396,100,0.20284652709960938
frame_36.jpg,0.48960173,100,0.2218925952911377
frame_37.jpg,0.4545183,100,0.20192170143127441
frame_38.jpg,0.48605296,100,0.22123360633850098
frame_39.jpg,0.52877593,100,0.27242064476013184
frame_40.jpg,0.5846635,100,0.24470925331115723
frame_41.jpg,0.5417353,75,0.19592571258544922
frame_42.jpg,0.5150412,100,0.19929218292236328
frame_43.jpg,0.5447176,100,0.21637535095214844
frame_44.jpg,0.5227701,100,0.23368310928344727
frame_45.jpg,0.50598735,50,0.2530374526977539
frame_46.jpg,0.51043755,25,0.23504018783569336
frame_47.jpg,0.53597194,100,0.22566461563110352
frame_48.jpg,0.5246345,100,0.23438382148742676
frame_49.jpg,0.57719725,100,0.24634790420532227
frame_50.jpg,0.52831197,100,0.18408608436584473
frame_51.jpg,0.54466385,100,0.2088453769683838
frame_52.jpg,0.63193774,100,0.2334439754486084
frame_53.jpg,0.61917084,100,0.23173928260803223
frame_54.jpg,0.6064501,75,0.23225784301757812
frame_55.jpg,0.0,100,0.1058034896850586
frame_56.jpg,0.5053192,100,0.17552542686462402
frame_57.jpg,0.56369376,100,0.19807195663452148
frame_58.jpg,0.5479069,100,0.2022566795349121
frame_59.jpg,0.644798,100,0.24865126609802246
frame_60.jpg,0.55832976,100,0.2187199592590332
frame_61.jpg,0.46334636,100,0.351060152053833
frame_62.jpg,0.4661818,100,0.31393980979919434
frame_63.jpg,0.5947196,100,0.38158535957336426
frame_64.jpg,0.67794573,100,0.5342929363250732
frame_65.jpg,0.6413371,100,0.5833992958068848
frame_66.jpg,0.48726115,100,0.24654626846313477
frame_67.jpg,0.63129336,100,0.5072088241577148
frame_68.jpg,0.68677604,100,0.44401049613952637
frame_69.jpg,0.64025813,100,0.6545140743255615
frame_70.jpg,0.6099791,100,0.33264684677124023
frame_71.jpg,0.38260868,100,0.2354278564453125
frame_72.jpg,0.4307344,100,0.29917407035827637
frame_73.jpg,0.56775975,100,0.5141198635101318
frame_74.jpg,0.7596105,75,0.9728245735168457
frame_75.jpg,0.0,100,0.0848841667175293
frame_76.jpg,0.0,100,0.09021615982055664
frame_77.jpg,0.0,75,0.08057570457458496
frame_78.jpg,0.0,100,0.022019624710083008
frame_79.jpg,0.0,100,0.022548198699951172
frame_80.jpg,0.0,100,0.0223696231842041
frame_81.jpg,0.0,100,0.021327972412109375
frame_82.jpg,0.0,100,0.02101731300354004
frame_83.jpg,0.0,100,0.024025678634643555
frame_84.jpg,0.0,100,0.02402043342590332
frame_85.jpg,0.0,100,0.022651195526123047
frame_86.jpg,0.0,100,0.022891521453857422
frame_87.jpg,0.0,100,0.023131370544433594
frame_88.jpg,0.6302417,100,0.4492828845977783
frame_89.jpg,0.6471196,100,0.7905805110931396
frame_90.jpg,0.0,100,0.021410226821899414
frame_91.jpg,0.0,100,0.020891427993774414
frame_92.jpg,0.78171027,100,0.28873181343078613
frame_93.jpg,0.5821928,100,0.24407315254211426
frame_94.jpg,0.76697004,100,0.8932480812072754
frame_95.jpg,0.71511286,100,0.8487899303436279
frame_96.jpg,0.66811,100,0.7269124984741211
