Filename,Mean Brightness,Std Brightness,Max Brightness,Min Brightness,Hue Hist Feature 1,Hue Hist Feature 2,Hue Std,Contrast,Mean Saturation,Std Saturation,Max Saturation,Min Saturation,SIFT Features,Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM,Excess Green Index,Excess Red Index,CIVE,ExG-ExR Ratio,CIVE Ratio
frame_443.jpg,157.514,19.234,248.0,48.0,12,420.000,14.232,0.080,74.483,19.608,247.0,0.0,823,0.2600102433953032,0.23009800024461824,0.8878709477113294,0.46860280084455375,0.9086879169318521,0.21958858495936048,71,34.79999999999998,-7.34055,0.9278564453125,0.8752937316894531
frame_444.jpg,156.408,18.968,247.0,50.0,14,396.000,12.088,0.068,77.851,20.032,248.0,0.0,782,0.26093520670254394,0.22736897627201558,0.889584134770571,0.467165566335038,0.9047352115600908,0.21824366636913678,74,38.99999999999997,-8.341550000000012,0.9414596557617188,0.8972206115722656
frame_445.jpg,155.696,19.788,248.0,54.0,16,417.000,14.438,0.081,75.408,20.621,237.0,0.0,812,0.2615658635029354,0.22928387964774946,0.8885503544476276,0.46223765573817704,0.912429934887091,0.21366365038232546,66,35.79999999999998,-5.374550000000021,0.9243049621582031,0.8686408996582031
frame_446.jpg,154.994,20.214,247.0,59.0,14,442.000,14.210,0.079,75.259,20.874,255.0,0.0,747,0.25553831335616434,0.2232333965264187,0.891554852562073,0.45732629132801406,0.9166073916833635,0.20914733673983557,61,44.99999999999997,-3.0905500000000217,0.9236488342285156,0.8693771362304688
frame_447.jpg,154.825,19.827,247.0,59.0,16,433.000,13.843,0.077,74.410,20.857,211.0,0.0,764,0.24822269447162407,0.2213987585616437,0.8919251111436404,0.4592722567670077,0.914787762405227,0.21093100583586027,66,34.599999999999994,-5.419549999999994,0.9200210571289062,0.8689422607421875
frame_448.jpg,154.037,18.896,248.0,63.0,18,404.000,13.013,0.073,74.800,20.406,181.0,0.0,704,0.2319899706457924,0.21406402886497045,0.8947454709623573,0.4643275582223788,0.9114816156212102,0.2156000813247566,66,35.0,-5.40455,0.9275436401367188,0.8798904418945312
frame_449.jpg,161.820,17.156,248.0,70.0,15,466.000,9.966,0.056,77.435,19.041,180.0,0.0,674,0.2195258989726027,0.20578904721135027,0.8984682243056601,0.4723633116883097,0.9002896760737946,0.2231270982291472,83,26.799999999999983,-12.28855000000003,0.9458045959472656,0.9141159057617188
frame_450.jpg,160.111,16.982,248.0,74.0,13,471.000,8.470,0.048,81.543,19.448,162.0,0.0,599,0.21556996086105665,0.20370596868884533,0.899322041777722,0.47704311018951634,0.8973359590582752,0.22757012897928702,31,52.39999999999998,8.74744999999998,0.96051025390625,0.9342269897460938
frame_451.jpg,158.786,17.012,248.0,86.0,15,492.000,8.827,0.049,81.931,20.520,152.0,0.0,562,0.19718918175146768,0.189353748776908,0.9061050501107973,0.48134683655662097,0.9035241996993039,0.23169477706306638,13,68.19999999999999,16.30144999999998,0.96240234375,0.9381217956542969
frame_452.jpg,163.986,14.669,241.0,112.0,13,463.000,10.790,0.060,76.338,19.926,130.0,0.0,45,0.07648529231898238,0.07648529231898238,0.9617573538405089,0.5392442861524357,0.9494635365760172,0.29078440014804996,50,42.79999999999998,1.0374499999999856,0.9583663940429688,0.9316902160644531
