Filename,Mean Brightness,Std Brightness,Max Brightness,Min Brightness,Hue Hist Feature 1,Hue Hist Feature 2,Hue Std,Contrast,Mean Saturation,Std Saturation,Max Saturation,Min Saturation,SIFT Features,Texture Contrast,Texture Dissimilarity,Texture Homogeneity,Texture Energy,Texture Correlation,Texture ASM,Excess Green Index,Excess Red Index,CIVE,ExG-ExR Ratio,CIVE Ratio,IoU Weeds,IoU Back,Max Saturation Interval,Hue Hist Feature 2 Interval,Mean Brightness Interval,ActualSlimNetwork1Preformance,ActualSlimNetwork2Preformance,ActualSlimNetwork3Preformance,ActualSlimNetwork4Preformance,ActualSqueezeNetwork1Preformance,ActualSqueezeNetwork2Preformance,ActualSqueezeNetwork3Preformance,ActualSqueezeNetwork4Preformance
frame_0058-Copia-1-_jpg.rf.62fea058d7ea3459d5188288cc05cfc7.jpg,158.776,25.217,250.0,59.0,19,98.0,23.98,0.134,73.282,30.596,198.0,0.0,820,0.8172181372549019,0.917124183006536,0.4239889705882354,1.089673202614379,0.5410232843137255,0.5694117647058825,0.3465379901960785,0.6478738946559016,0.75601186463946,0.7482615714024633,0.83438627062816,0.6701109,0.852474,1,1,0,0.74977905,0.75144655,0.7416211,0.73749727,0.629101,0.6569536,0.6702552,0.6701109
frame_0006_jpg.rf.6bcafcdc85347bd4a76eac957ee6bb2b.jpg,170.271,18.312,248.0,69.0,15,1.0,13.783,0.077,69.306,19.318,208.0,0.0,597,0.5495557598039217,0.6283890811226451,0.3169577205882354,0.7390234525182622,0.407123161764706,0.4372625913110344,0.2795189950980392,0.500653594771242,0.8102676229971322,0.7994991415094819,0.8639670739619375,0.33438206,0.7972528,2,0,2,0.41352424,0.5096925,0.6382281,0.725818,0.3197808,0.32751635,0.33291173,0.33438206
frame_0035_jpg.rf.d661e5c1ef54e1b9281f965d5d5a61eb.jpg,163.209,20.942,249.0,61.0,16,108.0,14.576,0.081,72.868,21.087,215.0,1.0,642,0.6250919117647061,0.7127566320645905,0.3739430147058824,0.8680046136101501,0.4443321078431375,0.4794925028835063,0.3170496323529412,0.549788542868128,0.7952627251203167,0.7825322968085437,0.8471147815743942,0.45721212,0.8498771,2,1,1,0.56059927,0.6470386,0.76481366,0.83860546,0.417163,0.44912001,0.45707542,0.45721212
frame_0038_jpg.rf.6b5d026ef780097105d320bd47dee751.jpg,160.759,17.67,247.0,63.0,16,38.0,13.683,0.076,75.233,20.916,164.0,0.0,451,0.4717064950980392,0.5270588235294112,0.2654718137254904,0.6324183006535943,0.3596047794117647,0.3825913110342172,0.2363664215686275,0.4427066512879661,0.8311711402604027,0.8225481029229448,0.8847094451468374,0.4128551,0.78590614,1,0,1,0.56492776,0.6541789,0.7729611,0.8465841,0.37574404,0.40526888,0.4111143,0.4128551
frame_0045_jpg.rf.b1368a36b104c63756296e1af38df178.jpg,157.516,18.671,246.0,49.0,11,202.0,14.04,0.078,74.328,19.368,235.0,1.0,476,0.5025275735294116,0.5668127643214149,0.2750000000000003,0.6761091887735486,0.3717984068627453,0.3966320645905422,0.2412990196078433,0.4571472510572854,0.8264960250999934,0.8176470945573329,0.8827032871972323,0.367241,0.81233186,2,2,0,0.51647466,0.6155329,0.72581774,0.79524654,0.30168462,0.35858417,0.36691755,0.367241
frame_0052_jpg.rf.82897ad1f94050e7b9e87ac7b2ac1d29.jpg,160.117,16.532,247.0,80.0,13,226.0,8.347,0.047,81.456,19.275,158.0,2.0,322,0.375582107843137,0.409673202614379,0.2221966911764706,0.4971780084582851,0.3164215686274509,0.3321337946943484,0.2092371323529413,0.3912495194156091,0.8475634869714667,0.841471304556996,0.8966730644463669,0.36824408,0.82637405,0,2,1,0.48962107,0.5200075,0.5257345,0.52037805,0.31609014,0.35598996,0.36498427,0.36824408
frame_0034-Copia-1-_jpg.rf.722f286762e6b56c7c712974150d29a9.jpg,165.092,20.562,250.0,80.0,15,151.0,19.117,0.107,70.363,23.613,159.0,0.0,441,0.4420802696078432,0.474340638216071,0.2342524509803921,0.603552479815456,0.3562040441176472,0.3701038062283738,0.2140012254901961,0.4351864667435605,0.830384372781918,0.8251392049332209,0.8950245098039213,0.39427224,0.75964355,1,1,2,0.5381925,0.62374747,0.7328544,0.80039936,0.33915082,0.38679162,0.39515623,0.39427224
frame_0050_jpg.rf.97daac367c7f524f71b17ff19dc08e82.jpg,154.037,18.421,247.0,68.0,18,203.0,12.725,0.071,74.667,20.274,167.0,1.0,344,0.4300704656862746,0.4955478662053058,0.2500612745098037,0.5681660899653979,0.3428768382352943,0.3696578239138795,0.2256433823529411,0.4185620915032682,0.8369899597702906,0.8272366641234545,0.8896092848904263,0.39640796,0.8237768,1,2,0,0.5466284,0.58908236,0.5967605,0.5981048,0.34645867,0.39127672,0.3973909,0.39640796
frame_0023_jpg.rf.a4304d942dde599379d1071d358c29ae.jpg,159.491,20.729,246.0,95.0,16,215.0,19.966,0.112,65.795,22.836,127.0,0.0,471,0.4260569852941175,0.4753248750480582,0.2554227941176469,0.5758246828143021,0.3496476715686274,0.3691810841983852,0.2328124999999998,0.4333564013840828,0.8326740293119506,0.8256885358012975,0.8858461288927331,0.39238682,0.787873,0,2,0,0.5240894,0.62284833,0.7353207,0.8012313,0.34980336,0.3841092,0.3915827,0.39238682
frame_0028-Copia-1-_jpg.rf.826c92b09e5742deb48d744060ebb13f.jpg,165.788,20.03,253.0,77.0,17,164.0,17.34,0.097,69.134,19.927,151.0,0.0,444,0.4524356617647057,0.4833217993079586,0.2449295343137253,0.6162091503267972,0.3628829656862744,0.3766243752402922,0.223391544117647,0.4447366397539407,0.8273426063015702,0.8221255641650514,0.890435818416733,0.28102404,0.77733916,0,2,2,0.3857922,0.51525766,0.68714476,0.75531214,0.24845536,0.27086088,0.28118122,0.28102404
frame_0058_jpg.rf.fe5b7c3fb2c33e60c52ed0df02a9ef34.jpg,164.534,18.318,244.0,91.0,10,56.0,14.361,0.08,58.153,17.061,121.0,0.0,440,0.4126838235294118,0.4505959246443674,0.2590379901960787,0.5628758169934645,0.3484681372549021,0.3663821607074201,0.2414215686274511,0.4359400230680509,0.8321322697631088,0.8250523484702197,0.8810465325836218,0.40631875,0.8038975,0,0,2,0.536445,0.5781099,0.5961976,0.6101874,0.38513783,0.40440947,0.40885636,0.40631875
frame_0026_jpg.rf.e4f544e03de6415dce4c635152ad402d.jpg,169.894,19.353,250.0,93.0,18,3.0,18.69,0.104,65.832,20.894,137.0,0.0,589,0.5169883578431372,0.5740407535563244,0.3043504901960783,0.7230911188004613,0.3998008578431377,0.4232987312572089,0.2694546568627451,0.4997616301422532,0.8116923063060068,0.8031006730790978,0.8687579296424451,0.42527068,0.79044026,0,0,2,0.54265136,0.63805187,0.76750606,0.8468468,0.3934545,0.41044775,0.4254824,0.42527068
frame_0029-Copia-1-_jpg.rf.564ac958965cc1a76e23b254366e3a47.jpg,164.134,21.373,252.0,70.0,19,53.0,20.894,0.117,69.897,22.88,187.0,0.0,473,0.4650122549019609,0.5058823529411764,0.2521292892156863,0.6355863129565551,0.3714460784313727,0.3891580161476354,0.2274969362745099,0.4544252210688196,0.8234900962647499,0.8167833427064041,0.8887126045271048,0.3173124,0.762997,1,0,2,0.45608702,0.5662499,0.710148,0.8014284,0.27598307,0.30961686,0.3197832,0.3173124
frame_0033-Copia-1-_jpg.rf.3ebaeff4363b742ffd119d5e725afb83.jpg,168.532,19.784,249.0,86.0,14,53.0,19.806,0.111,65.478,20.745,142.0,0.0,453,0.4272518382352941,0.4551480199923107,0.2385569852941175,0.596970396001538,0.3479932598039217,0.361522491349481,0.2199908088235293,0.4361091887735486,0.8338252553566671,0.828431042011339,0.8918612132352935,0.46568152,0.790563,0,0,2,0.58902234,0.6725172,0.7786862,0.8415894,0.4288652,0.4515625,0.46789968,0.46568152
frame_0002_jpg.rf.f138d48d95cdd15653758d33c85e7b98.jpg,163.796,24.24,251.0,69.0,20,92.0,23.433,0.131,68.802,24.942,153.0,0.0,868,0.7643382352941175,0.8899653979238756,0.4913756127450979,1.110080738177624,0.5294117647058821,0.5785467128027683,0.397594975490196,0.668189158016148,0.7581469949787424,0.7404659362583235,0.8104473247160853,0.6277206,0.8173672,0,1,1,0.7139683,0.7692708,0.8313514,0.86380595,0.57567,0.6169847,0.6272517,0.6277206
